feature,importance
resp_fuids_FIixge4WWZwpx1ntIg,9.335197073235935e-08
resp_fuids_FUUsXH3FbyrXUmX0ag,8.729142273401899e-08
resp_fuids_FgCaC4r6fZoQaTnE5,8.413244952699874e-08
resp_fuids_FUOKdM10JgdcYGina,8.319769375927239e-08
resp_fuids_FyVfOg1PsUxR3cqmAl,8.292834346989263e-08
resp_fuids_FwcjB21vpfdi4NJjhg,8.282873652169368e-08
resp_fuids_FxGvK33yh0nczzDwVf,8.27003878061345e-08
resp_fuids_Fyr5aMyOrLbVN9Sn6,8.253267594732944e-08
resp_fuids_FeW2no39y5BeXR5UHh,8.245657312984909e-08
resp_fuids_FtwGUI1SJeFcFQJhFb,8.15301668287541e-08
resp_fuids_Fuk25I11gbfarD0OCe,7.908623119254747e-08
resp_fuids_FKHHql1ttbEwOmLqG,7.668196205910746e-08
resp_fuids_F6z3oJ2g3b2ukBc7ag,7.596572733044399e-08
resp_fuids_FdOrnF2KvdtxdilqLe,7.172119658211861e-08
resp_fuids_FP7yFc19T3fAnuMmKf,6.762993415442306e-08
resp_fuids_F7HWMX209oCnJfOwhj,6.153211681659773e-08
history_ShaGADcgfF,5.5314450769105704e-08
resp_fuids_F2OQ4V1uDWiGmduUoh,5.525579489822804e-08
resp_fuids_F1rhfz4uK5ldIBPha,5.5243024082281894e-08
resp_fuids_Fl7FbU1TG72i46Kxw4,5.515519166769206e-08
resp_fuids_FDIfZs3xapvPvKXAxa,5.508298771018652e-08
resp_fuids_FsYlPR2390TRvuGUJg,5.503876895071298e-08
resp_fuids_Fg8rwr2p1M3AKNfki8,5.5021561205041335e-08
resp_fuids_F7b8Cl1U0hXmXQTcTa,5.486169571946645e-08
resp_fuids_FvTHZ2FVTJVt4Rnja,5.483437830312864e-08
resp_fuids_FabWTl4H0Sk729TYTj,5.3488886143274194e-08
resp_fuids_Fdwj7N2CPj05D1lWhi,5.117510449463067e-08
history_ShADTaFcR,4.9698667917034434e-08
resp_fuids_FZAePDv88d52QxGZ1,4.9313456382246e-08
resp_fuids_FkjeqQ346e8UPsYEKa,4.897593294144038e-08
resp_fuids_Fem7XHcQuxR48fHB8,4.833653128886555e-08
resp_fuids_FXe86fGFbbjJS5aW2,3.973131351691931e-08
resp_fuids_FT0zbZ1UjHj4R8rpy6,3.868706589420181e-08
resp_fuids_FvEGIc2covED94J8S2,3.7483586784817895e-08
resp_fuids_FNNNpX2d8F2UtcfTIf,3.367920486985626e-08
